,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
257,протокол № 35 от 19.01.2017 г.,19.01.2017,20,"Айнакулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме), Аттокуров Д.Б. (право голосования передано депутату Кодурановой А.С. в письменной форме), Бокоев К.С. (право голосования передано депутату Омурбековой А.С. в письменной форме), Джумабеков Д.А. (право голосования передано депутату Алимбекову Н.К. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Нишанову Н.Н. в письменной форме), Жутанов А.Т. (право голосования передано депутату Жамалдинову З.И. в письменной форме), Иминов Ф.А. (право голосования передано депутату Баймуратову К.Ш. в письменной форме), Исаев К.К. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Кадыркулов И.А. (право голосования передано депутату Джураеву С.М. в письменной форме), Казакбаев Р.А. (право голосования передано депутату Сыдыкову Б.У. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Макеев Н.К. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Мамашова А.Т. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Мамытов Т.Т. (право голосования передано депутату Омурбековой А.С. в письменной форме), Токторов А.С. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Турускулов Ж.К. (право голосования передано депутату Тиллаеву Т.Г. в письменной форме), Узакбаев А.О. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Чудинов И.В. (право голосования передано депутату Ормонову У.З. в письменной форме), Шайназаров Т.У. (право голосования передано депутату Жунус уулу Алтынбеку в письменной форме).",http://kenesh.kg/ru/article/show/1385/protokol-35-ot-19-01-2017-g,111,15 минут,91,1 час,104,,120,,,
258,протокол № 34 от 18.01.2017 г.,18.01.2017,1,Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме).,http://kenesh.kg/ru/article/show/1384/protokol-34-ot-18-01-2017-g,78,15 минут,99,15 минут,99,15 минут,118,99,,
259,протокол № 33 от 12.01.2017 г.,12.01.2017,3,"Баатырбеков А.Б. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Мавлянова М.Э. (право голосования передано депутату Абжалиеву А.Т. в письменной форме), Самигуллина А.Э. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/1336/protokol-33-ot-12-01-2017-g,97,15 минут,80,15 минут,113,,115,,,
260,протокол № 32 от 11.01.2017 г.,11.01.2017,3,"Баатырбеков А.Б. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Мавлянова М.Э. (право голосования передано депутату Абжалиеву А.Т. в письменной форме), Самигуллина А.Э. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/1335/protokol-32-ot-11-01-2017-g,103,15 минут,99,,115,,,,,
261,протокол № 31 от 29.12.2016 г.,29.12.2016,0,Все присутствовали,http://kenesh.kg/ru/article/show/1280/protokol-31-ot-29-12-2016-g,92,15 минут,68,,116,,,,,
262,протокол № 30 от 28.12.2016 г.,28.12.2016,0,Все присутствовали,http://kenesh.kg/ru/article/show/1279/protokol-30-ot-28-12-2016-g,109,15 минут,105,1 час,104,,111,,,
263,протокол № 29 от 22.12.2016 г.,22.12.2016,12,"Айдаров С.А., Алимбеков Н.К., Асылбек уулу Д., Жумалиев К.М. (право голосования передано депутату Акматову А.Ж. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Туманбаевой Р.М. в письменной форме), Зулушев К.Т., Конушбаев Т.К., Нурбаев А.М., Маннанов И.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Сабиров М.Э., Турсунбеков Ч.А., Орозова К.Б. (право голосования передано депутату Артыкбаеву О.М. в письменной форме).",http://kenesh.kg/ru/article/show/1203/protokol-29-ot-22-12-2016-g,96,15 минут,106,1 час,101,,63,,,
264,протокол № 28 от 21.12.2016 г.,21.12.2016,13,"Айдаров С.А., Алимбеков Н.К., Асылбек уулу Д., Жумалиев К.М. (право голосования передано депутату Акматову А.Ж. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Туманбаевой Р.М. в письменной форме), Зулушев К.Т., Карамушкина И.Ю. (право голосования передано депутату Артыкбаеву О.М. в письменной форме), Конушбаев Т.К., Нурбаев А.М., Маннанов И. А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Сабиров М.Э., Турсунбеков Ч.А., Орозова К.Б. (право голосования передано депутату Артыкбаеву О.М. в письменной форме).",http://kenesh.kg/ru/article/show/1202/protokol-28-ot-21-12-2016-g,92,15 минут,84,1 час,100,,101,,,
265,протокол № 27 от 15.12.2016 г.,15.12.2016,6,"Мамашова А.Т. (право голосования передано депутату Текебаеву О.Ч. в письменной форме), Маннанов И.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Нурбаев А.М., Нышанов С.К., Орозова К.Б. (право голосования передано депутату Артыкбаеву О.М. в письменной форме), Туманбаева Р.М. (право голосования передано депутату Жунус уулу Адылу в письменной форме).",http://kenesh.kg/ru/article/show/1179/protokol-27-ot-15-12-2016-g,100,15 минут,94,1 час,95,,110,,,
266,протокол № 26 от 14.12.2016 г.,14.12.2016,6,"Иманалиев К.К., Мамашова А.Т. (право голосования передано депутату Текебаеву О.Ч. в письменной форме), Нурбаев А.М., Нышанов С.К., Орозова К.Б. (право голосования передано депутату Артыкбаеву О.М. в письменной форме), Туманбаева Р.М. (право голосования передано депутату Жунус уулу Адылу в письменной форме).",http://kenesh.kg/ru/article/show/1178/protokol-26-ot-14-12-2016-g,99,15 минут,105,1 час,107,,111,,,
