from_dep,to_dep,
Джумабеков Д.А.,Толонову Д.Э.,2
Джураев С.М.,Зулпукарову Т.З.,2
Джураев С.М.,Мадеминову М.Г.,2
Джураев С.М.,Маннанову И.А.,2
Чойбеков Р.Н.,Исаеву Ж.Б.,2
Узакбаев А.О.,Шайназарову Т.У.,2
Шайназаров Т.У.,Жунус уулу Алтынбеку,2
Жамангулов А.Ж.,Жеенчороеву М.К.,2
Жамангулов А.Ж.,Райымкулову Б.К.,2
Жапаров А.У.,Ормонову У.З.,2
Турускулов Ж.К.,Тулендыбаеву П.Р.,2
Турускулов Ж.К.,Тиллаеву Т.Г.,2
Турускулов Ж.К.,Алтынбекову А.,2
Жунус уулу Адыл,Турускулову Ж.К.,2
Жунус уулу Алтынбек,Жамалдинову З.И.,2
Жунус уулу Алтынбек,Икрамову Т.И.,2
Жутанов А.Т.,Торобаеву Б.Э.,2
Бекешев Д.Д.,Арапбаеву А.А.,2
Бакчиев Ж.А.,Абдылдаеву М.Ю.,2
Жылкыбаев У.К.,Молдобековой Г.С.,2
Арапбаев А.А.,Аманкулову М.А.,2
Юсуров А.Л.,Узакбаеву А.О.,2
Айнакулов М.А.,Артыкову А.А.,2
Акматов А.Ж.,Чудинову И.В.,2
Алимбеков Н.К.,Баатырбекову А.Б.,2
Алимбеков Н.К.,Джумабекову Д.А.,2
Эргешов А.М.,Конушбаеву Т.К.,2
Алимбеков Н.К.,Турсунбаеву А.А.,2
Алтыбаева А.Т.,Орозовой К.Б.,2
Алтынбеков А.,Турускулову Ж.К.,2
Эгембердиев М.Б.,Омуркулову И.Ш.,2
Арапбаев А.А.,Касымалиевой А.К.,2
Бакиров М.И.,Узакбаеву А.О.,2
Арапбаев А.А.,Матраимову И.И.,2
Артыков А.А.,Карамушкиной И.Ю.,2
Артыков А.А.,Омуркулову И.Ш.,2
Артыков А.А.,Орозовой К.Б.,2
Аттокуров Д.Б.,Омуркулову И.Ш.,2
Шер-Нияз С.,Сыдыгалиеву Н.О.,2
Шер-Нияз С.,Маматову А.,2
Шарапов З.Э.,Зулушеву К.Т.,2
Баймуратов К.Ш.,Казакбаеву Р.А.,2
Бакиров М.И.,Жамалдинову З.И.,2
Жылкыбаев У.К.,Арапбаеву А.А.,2
Примов У.Б.,Омуркулову И.Ш.,2
Иминов Ф.А.,Омурбековой А.С.,2
Иманалиев К.К.,Сыдыгалиеву Н.О.,2
Исмаилова А.Ж.,Тулендыбаеву П.Р.,2
Ибраимжанов Б.С.,Казакбаеву Р.А.,2
Тулендыбаев П.Р.,Бабанову О.Т.,2
Токтошев Э.Т.,Иманалиеву К.К.,2
Ибраимжанов Б.С.,Тулендыбаеву П.Р.,2
Исаков М.А.,Омуркулову И.Ш.,2
Икрамов Т.И.,Жутанову А.Т.,2
Торокулов Д.Г.,Сулайманову А.Т.,2
Иманалиев К.К.,Шыкмаматову А.Н.,2
Казакбаев Р.А.,Алтынбекову А.,2
Исаков М.А.,Матраимову И.И.,2
Торокулов Д.Г.,Жапарову А.У.,2
Иминов Ф.А.,Бабанову О.Т.,2
Исаков М.А.,Жээнбекову А.Ш.,2
Токтошев Э.Т.,Шыкмаматову А.Н.,2
Толонов Д.Э.,Айдарову С.А.,2
Торобаев Б.Э.,Масалиеву И.А.,2
Исаев К.К.,Баатырбекову А.Б.,2
Ибраимжанов Б.С.,Жеенчороеву М.К.,2
Исаев К.К.,Самаеву У.О.,2
Тулендыбаев П.Р.,Райымкулову Б.К.,2
Зулпукаров Т.З.,Карашеву А.А.,2
Тиллаев Т.Г.,Райымкулову Б.К.,2
Зулпукаров Т.З.,Эгембердиеву М.Б.,2
Казакбаев Р.А.,Бокоеву К.С.,2
Токторов А.С.,Алимбекову Н.К.,2
Самат Гульнара Клара,Маматову А.,1
Рыспаев К.Дж.,Осмоновой А.Ш.,1
Самаев У.О.,Чойбекову Р.Н.,1
Сурабалдиева Э.Ж.,Зулпукарову Т.З.,1
Шер-Нияз С.,Мамашовой А.Т.,1
Сабиров М.Э.,Казакбаеву Р.А.,1
Сабиров М.Э.,Бабанову О.Т.,1
Шыкмаматов А.Н.,Иманалиеву К.К.,1
Шыкмаматов А.Н.,Маматову А.,1
Рыспаев К.Дж.,Каримову Н.Т.,1
Токтошев Э.Т.,Маматову А.,1
не указано,Зулпукарову Т.З.,1
Шер-Нияз С.,Гайпкулову И.Т.,1
Рыспаев К.Дж.,Примову У.Б.,1
Токторов А.С.,Айдарову С.А.,1
Шыкмаматов А.Н.,Текебаеву О.Ч.,1
Юсуров А.Л.,Торобаеву Б.Э.,1
Токторов А.С.,Самаеву У.О.,1
Сыдыков Б.У.,Казакбаеву Р.А.,1
Салянова А.Ж.,Шыкмаматову А.Н.,1
Сыдыков Б.У.,Жеенчороеву М.К.,1
Самаев У.О.,Исаеву Ж.Б.,1
Шарапов З.Э.,Турускулову Ж.К.,1
Юсуров А.Л.,Асылбаевой Г.К.,1
Токторов А.С.,Эргешову А.М.,1
Токтошев Э.Т.,Гайпкулову И.Т.,1
Сабиров М.Э.,Тулендыбаеву П.Р.,1
Самаев У.О.,Масабирову Т.А.,1
Юсуров А.Л.,Бакирову М.И.,1
Самаев У.О.,Нурматову К.С.,1
Юсуров А.Л.,Жутанову А.Т.,1
Юсуров А.Л.,Масалиеву И.А.,1
Эгембердиев М.Б.,Строковой Е.Г.,1
Сулайманов А.Т.,Торокулову Д.Г.,1
Толонов Д.Э.,Алимбекову Н.К.,1
Тагаев Э.С.,Ормонову У.З.,1
Сарсейитов И.З.,Самаеву У.О.,1
Тулендыбаев П.Р.,Казакбаеву Р.А.,1
Сатыбалдиев К.У.,Джураеву С.М.,1
Турсунбеков Ч.А.,Нурбаеву А.М.,1
Сатыбалдиев К.У.,Омуркулову И.Ш.,1
Турсунбеков Ч.А.,Кулбаракову А.И.,1
Строкова Е.Г.,Аманкулову М.А.,1
Турсунбеков Ч.А.,Баатырбекову А.Б.,1
Турсунбеков Ч.А.,Аманкулову М.А.,1
Турсунбаев А.А.,Калмаматову Ж.А.,1
Турсунбаев А.А.,Алимбекову Н.К.,1
Туманбаева Р.М.,Турускулову Ж.К.,1
Строкова Е.Г.,Касымалиевой А.К.,1
Туманбаева Р.М.,Райымкулову Б.К.,1
Туманбаева Р.М.,Нишанову Н.Н.,1
Туманбаева Р.М.,Алтынбекову А.,1
Туманбаева Р.М.,Зулушеву К.Т.,1
Туманбаева Р.М.,Жеенчороеву М.К.,1
Субанбеков Б.Ж.,Ормонову У.З.,1
Узакбаев А.О.,Жамалдинову З.И.,1
Сулейманов Б.И.,Мамашовой А.Т.,1
Шайназаров Т.У.,Торобаеву Б.Э.,1
Узакбаев А.О.,Икрамову Т.И.,1
Самат Гульнара Клара,Шыкмаматову А.Н.,1
Шайназаров Т.У.,Масалиеву И.А.,1
Райымкулов Б.К.,Жамангулову А.Ж.,1
Сулайманов А.Т.,Турсунбекову Ч.А.,1
Шадиев А.А.,Сулайманову А.Т.,1
Султанов А.М.,Узакбаеву А.О.,1
Султанов А.М.,Торобаеву Б.Э.,1
Чудинов И.В.,Ормонову У.З.,1
Султанов А.М.,Жамалдинову З.И.,1
Чудинов И.В.,Акматову А.Ж.,1
Чолпонбаев У.С.,Исаевой Д.Ш.,1
Чолпонбаев У.С.,Жеенчороеву М.К.,1
Торокулов Д.Г.,Турусбекову Б.С.,1
Чолпонбаев У.С.,Бокоеву К.С.,1
Самигуллина А.Э.,Турсунбекову Ч.А.,1
Сарсейитов И.З.,Баатырбекову А.Б.,1
Чойбеков Р.Н.,Айдарову С.А.,1
Тотонов Н.Т.,Жеенчороеву М.К.,1
Сулейманов Б.И.,Никитенко Н.В.,1
Тиллаев Т.Г.,Маматалиеву М.А.,1
Абжалиев А.Т.,Бабанову О.Т.,1
Примов У.Б.,Нурбаеву А.М.,1
Жумалиев К.М.,Чудинову И.В.,1
Жолдошбаев К.,Юсурову А.Л.,1
Жолдошбаев К.,Узакбаеву А.О.,1
Жолдошбаев К.,Торобаеву Б.Э.,1
Жолдошбаев К.,Икрамову Т.И.,1
Жетигенов Б.Ж.,Самигуллиной А.Э.,1
Жетигенов Б.Ж.,Мусабековой Ж.А.,1
Жетигенов Б.Ж.,Момбекову Р.Ч.,1
Жетигенов Б.Ж.,Бекешеву Д.Д.,1
Жетигенов Б.Ж.,Алтыбаевой А.Т.,1
Жеенчороев М.К.,Мамытову Т.Т.,1
Жеенбеков А.Ш.,Шыкмаматову А.Н.,1
Жапаров А.У.,Турусбекову Б.С.,1
Жамангулов А.Ж.,Мавляновой М.Э.,1
Жамалдинов З.И.,Шайназарову Т.У.,1
Жамалдинов З.И.,Асылбаевой Г.К.,1
Дюшалиев А.К.,Тиллаеву Т.Г.,1
Джураев С.М.,Момбекову Р.Ч.,1
Жумалиев К.М.,Ормонову У.З.,1
Жунус уулу Адыл,Алтынбекову А.,1
Джумабеков Д.А.,Алимбекову Н.К.,1
Жунус уулу Адыл,Баймуратову К.Ш.,1
Иманалиев К.К.,Маматову А.,1
Икрамов Т.И.,Жунус уулу Алтынбеку,1
Ибраимжанов Б.С.,Сыдыкову Б.У.,1
Ибраимжанов Б.С.,Сабирову М.Э.,1
Ибраимжанов Б.С.,Кыдыралиеву У.Т.,1
Зулушев К.Т.,Тулендыбаеву П.Р.,1
Зулушев К.Т.,Мамытову Т.Т.,1
Зулушев К.Т.,Абжалиеву А.Т.,1
Зулпукаров Т.З.,Жээнбекову А.Ш.,1
Зулпукаров Т.З.,Джураеву С.М.,1
Зулпукаров Т.З.,Аманкулову М.А.,1
Жылкыбаев У.К.,Турсунбекову Ч.А.,1
Жунус уулу Алтынбек,Узакбаеву А.О.,1
Жунус уулу Адыл,Тулендыбаеву П.Р.,1
Жунус уулу Адыл,Омурбековой А.С.,1
Жунус уулу Адыл,Нишанову Н.Н.,1
Жунус уулу Адыл,Зулушеву К.Т.,1
Джумабеков Д.А.,Султанбековой Ч.А.,1
Гайпкулов И.Т.,Шыкмаматову А.Н.,1
Примов У.Б.,Молдобековой Г.С.,1
Арапбаев А.А.,Эгембердиеву М.Б.,1
Арапбаев А.А.,Кодурановой А.С.,1
Аманкулов М.А.,Мусабековой Ж.А.,1
Аманкулов М.А.,Керезбекову К.К.,1
Алыбаев О.А.,Исаеву К.К.,1
Алыбаев О.А.,Баатырбекову А.Б.,1
Алтынбеков А.,Райымкулову Б.К.,1
Алимбеков Н.К.,Толонову Д.Э.,1
Алимбеков Н.К.,Масабирову Т.А.,1
Алимбеков Н.К.,Макееву Н.К.,1
Акматов А.Ж.,Торокулову Д.Г.,1
Акматов А.Ж.,Абдылдаеву М.Ю.,1
Айнакулов М.А.,Мадеминову М.Г.,1
Айнакулов М.А.,Кулбаракову А.И.,1
Айнакулов М.А.,Кадыркулову И.А.,1
Айнакулов М.А.,Зулпукарову Т.З.,1
Айдаров С.А.,Нурматову С.А.,1
Абжалиев А.Т.,Тиллаеву Т.Г.,1
Арапбаев А.А.,Осмоновой А.Ш.,1
Артыкбаев О.М.,Касымалиевой А.К.,1
Бокоев К.С.,Омурбековой А.С.,1
Асылбаева Г.К.,Масалиеву И.А.,1
Бокоев К.С.,Жамангулову А.Ж.,1
Бокоев К.С.,Баймуратову К.Ш.,1
Бакчиев Ж.А.,Эргешову А.М.,1
Бакчиев Ж.А.,Сулайманову А.Т.,1
Бакчиев Ж.А.,Джакуповой Ч.И.,1
Бакчиев Ж.А.,Акматову А.Ж.,1
Бакиров М.И.,Шайназарову Т.У.,1
